epoch_index,expected_state,recovered_i,recovered_q
4200,2,-0.9956282793885082,-0.031544246796812565
4202,0,1.001081888532306,0.034453921454759256
4203,2,-1.0036427039696916,0.012932923255477133
4204,3,0.014768786941713546,-1.0029972618014864
4205,2,-0.994108708186535,-0.0012735419867827436
4206,2,-0.9862875700345552,0.012001189567376952
4209,1,0.012644289287538782,0.9977439563462762
4210,3,-0.005386508949260008,-1.0186073816057968
4211,1,-0.005572995144129221,1.0153357260997502
4212,2,-0.9842738556929549,0.01542898476513415
4213,3,0.03159506087587823,-1.0090360654176778
4215,2,-1.0095264224531588,-0.0022191274955657395
4216,0,1.0051097356857073,-0.0007703129247108008
4217,2,-1.0069627258204026,0.002446986463198098
4218,3,0.0021057964574703243,-0.9988576790491298
4219,0,1.0026997766642813,0.006573939066233643
4222,0,1.0072998740494743,-0.015271917234358251
4223,2,-1.0134025108512346,-0.00828750135627876
4224,3,0.01437046865904414,-1.0066957665228093
4225,2,-0.9992773165779771,0.02395927262307845
4226,2,-1.012530683248061,-0.03043343718771903
4228,2,-1.003742540385585,0.01803412029843753
4229,0,1.0130712128168895,0.01908555137194817
4230,2,-0.9978603953099815,0.010986076775838299
4231,3,0.0055989632600398,-1.0021807065108472
4232,2,-1.0010861302625929,-0.002703613632045636
4234,2,-0.9950075832933416,-0.037009949433601246
4235,2,-0.9976840959187725,0.014739679441585307
4236,0,1.0133758835285003,0.005886457174200191
4237,2,-1.0035674707411493,-0.00834667422504954
4238,1,0.035794247656206694,1.0103825068347274
4241,2,-1.0029455729044983,0.0010836289134060816
4242,1,0.002375187072249677,1.0114879791841767
4243,0,0.992141728464749,0.008115804909859801
4244,3,-0.009197698842157924,-1.0161105205354912
4245,1,-0.013270572128840846,0.9950630142956184
4247,1,-0.027757934550172187,0.9980438188276316
4248,2,-0.9912956752421298,0.025061858364261894
4249,3,0.012664520141295117,-0.9893648166248064
4250,0,0.9829954914141996,0.0037753639124858255
4251,2,-0.9928976306428227,0.03733977218236647
4254,0,1.0034678419285128,0.019179384053333547
4255,0,0.9885097012473415,-0.0033861605783018062
4256,3,-0.019745200392367438,-1.0109754103955053
4257,1,-0.004112401810512918,1.0021913408023906
4258,0,1.0156663885899815,-0.0038372285437748973
4261,0,0.9908222407788715,-0.026410243849167157
4262,3,0.00725732552910339,-0.9914995803439984
4263,3,-0.0017289786686453458,-0.9840875932502016
4264,0,1.001180816285713,-0.031953441930506046
4265,0,1.002243724424357,0.04312062594568677
4267,1,0.009403666512239346,0.993655772822669
4268,0,1.0060572905802425,-0.011300388949076425
4269,3,0.005905593784848003,-1.0029741894643542
4270,3,-0.004041412491522194,-0.995432636859458
4271,2,-1.014251457029242,0.0029238238936512705
4274,0,1.0179678641081575,0.0015589436931434974
4275,2,-1.0018539953957801,-0.003859308484345476
4276,3,0.008555384435103756,-1.0049095150064475
4277,2,-1.0070998472076782,0.03996086391568268
4278,0,1.0009314883899965,0.032355323719726756
4280,3,0.011579733309384457,-1.0027673697276656
4281,0,1.009677026080538,-0.004875738292645021
4282,0,0.9975595182636234,0.008306264504074618
4283,1,0.0042066449371073,0.997898265464725
4284,1,0.001216776725930271,1.0047525417431433
4287,1,0.02475778167296589,0.9861724169970015
4288,0,0.9624569735832689,0.0034483355134880427
4289,1,-0.01822155371629684,0.9964031670561797
4290,1,0.031894340827533174,0.989965630033467
4291,1,-0.03189745987188615,1.00870279582862
4293,1,-0.0005696308351837628,0.9920386562515427
4294,0,1.009637045802618,-0.0030640467046355903
4295,1,-0.006290245538744554,0.9955905305604792
4296,1,-0.0004575793838496297,1.000596731215139
4297,1,0.014249915645023311,1.0081971138225974
4300,0,1.00321073383744,-0.021246081425651948
4301,3,-0.001544513663147169,-1.0022450362652384
4302,1,0.008851074976181594,0.9944454190908738
4303,0,1.0046504140099028,-0.012106717542636647
4304,3,0.016520835407456004,-1.021360556226942
4306,0,1.0032497591716487,0.029077194260940784
4307,3,-0.017135832122067072,-1.0083273009626885
4308,1,-0.0034154501361107004,1.0046281028820736
4309,0,0.9959116949045593,0.0016271694981501383
4310,3,-0.007737809911856212,-1.0139545500811837
4313,3,0.00037750227327024063,-1.0005767859258787
4314,2,-0.9927158670282763,-0.0032088540102899856
4315,2,-1.0054978364458014,-0.003156344755236052
4316,2,-0.9828400806814137,0.005773189366612083
4317,2,-0.9909953615863112,-0.008179690771585603
4319,2,-1.0030879636408458,-0.026979908526341412
4320,2,-0.9795745887969699,0.014842487198079062
4321,2,-1.004714240084009,0.0012230681939404031
4322,2,-1.003835959213673,-0.006359560495587008
4323,0,0.9897836881800592,-0.021820265543899042
4324,2,-1.0142786941481938,-0.026400261889856547
4327,0,1.0002942015573297,-0.01672108831501311
4328,2,-1.01214744171139,-0.009510012321573986
4329,3,-0.004305219375046593,-1.01604351536259
4330,2,-1.0106540496020961,0.018235238567396533
4331,2,-1.0023669006036295,-0.024359896751089485
4333,2,-0.9926303098717191,0.005608275776603039
4334,0,0.9997464532185812,-0.0110022553769899
4335,2,-0.9993676858568903,-0.01414674834064372
4336,1,0.007705285756366032,0.9944335151410261
4337,0,0.9958298746333718,0.02659937877774853
4339,1,-0.04118157257931713,0.990469113164944
4340,1,0.006901396306650815,0.994792070298524
4341,1,-0.0017212599746123326,1.012579067376248
4342,3,-0.002723453843345824,-1.0193003863083758
4343,1,0.008856849109667721,1.0046948531228774
4346,2,-0.9943276582791465,0.0175377239769477
4347,3,0.003891225625979047,-1.0063326323554287
4348,2,-0.9915667180684374,-0.004504098511573323
4349,2,-0.9915256887252955,0.007428822798252247
4350,2,-0.9847159612521782,-0.03045776692920544
4352,2,-1.0030456698873893,-0.035156586790509856
4353,1,0.02129654415296053,0.9921094804053441
4354,2,-0.991194536599187,-0.0027496330027500025
4355,3,0.01487589349540909,-0.9761005043017053
4356,0,0.9726063145812995,-0.0244917737095522
4359,2,-0.9800339118412729,-0.008019122270274154
4360,3,0.005165186730504376,-0.9890166644346126
4361,0,0.983180869544757,-0.0038815279850459784
4362,0,0.9851172080152396,0.006175078234685953
4363,3,-0.013544888626929047,-0.9957077487028002
4366,0,0.9892112555046917,-0.008263507094008684
4367,1,-0.00922613401745398,1.0044220053288428
4368,3,0.0015390590893756193,-0.9949346238473012
4369,1,-0.008161885686735223,1.015498220698768
4370,0,1.0071155294030645,-0.001010448072132104
4373,1,0.0038983727967643604,0.9938111762900993
4374,3,-0.005734645194833796,-1.01594374995694
4375,3,0.01115176189445363,-0.9966976026541526
4376,2,-0.98158969710408,0.026486251523593494
4377,2,-0.9876563298735993,-0.046436979421401174
4379,2,-1.0067867265814803,-0.018988628112399493
4380,1,0.01426211414647997,1.0026693033289265
4381,0,0.9984311148519716,-0.0037289340197650023
4382,1,-0.004960567113625209,1.00077086087824
4383,3,-0.003939285836542302,-1.0006322664180596
4386,1,0.013807922923419301,1.0058363860524848
4387,3,0.0005446743702219195,-1.0077180123282725
4388,1,0.0050428094753526154,0.9885911722225308
4389,2,-0.9993955988075547,0.023069903111453845
4390,3,0.051823457972851206,-1.0071366816259901
4393,2,-0.9846098398661088,0.013730643782744674
4394,0,1.0014706303958327,0.0058302165724218105
4395,0,0.9879118814593987,0.0011720874101400248
4396,1,0.0074530514650798475,0.9761168365680982
4397,1,-0.005248449942275811,0.9971992781323993
4400,3,-0.016461254125331268,-0.9952759454521793
4401,3,0.00163477479756615,-1.0035376172560468
4402,2,-0.9904360056529358,-0.01206973796369087
4403,2,-1.0007673906067234,0.02344012407082026
4404,0,1.005726549807673,0.037917594818519765
4406,1,-0.027832477596495243,0.9943340186393642
4407,3,-0.011132590902860241,-1.0156295735943814
4408,1,-0.009764505266163409,0.9951837384100483
4409,0,1.0022690695668741,-0.0006209235937564968
4410,3,-0.01761661508085254,-1.0065306108216958
4415,2,-0.9964200129015622,0.015512451425285402
4416,1,0.006324192714430102,1.001042952592036
4417,2,-0.9861424112698781,-0.002626312944655909
4418,3,-0.004297614728182466,-0.9989101281933769
4419,0,1.012799269409091,0.03281647792101812
4421,3,-0.010986664364688946,-0.9970388150445919
4422,3,0.018522950895270545,-1.010736485860742
4423,2,-0.996050726262592,0.007784272801620177
4424,2,-0.9842906432388433,0.0031587035553134793
4425,2,-0.9904337535440715,-0.0006996638142689314
4427,0,1.0109040577845596,0.010005198938401806
4428,3,-0.009821121622928516,-0.9853612193984427
4429,1,-0.00021456222364865402,0.9972044522737045
4430,0,1.0021625918938197,-0.012594042717724623
4431,1,0.0011487635787382393,0.9969732323071339
4434,0,1.0012160909071894,-0.023010293138579368
4435,0,1.0048585399441479,0.002043279799145207
4436,1,-0.005460469842255303,1.0009367753375567
4437,1,0.013178052232639311,0.988514988995034
4438,1,-0.009794698398703332,1.0139717111009097
4440,1,-0.0327393502292128,1.008588171917576
4441,3,-0.005392245888429111,-0.996334904105166
4442,1,0.002148274924488348,1.0078880684697586
4443,0,0.9838215770487705,-0.004228136382036345
4444,3,-0.01812828533630093,-1.0057265668832194
4447,1,0.02279570250437649,0.9948183989553268
4448,0,1.0053387197374997,-0.006902073484482094
4449,1,0.003467325003526941,0.9940236294248725
4450,3,-0.004935395120576921,-1.0170115268175552
4451,3,0.005684130874456466,-0.9975041206603423
4453,2,-1.0168392965856667,-0.022792323773560018
4454,1,0.026606454179126923,0.9806137080669892
4455,2,-0.9943902001648183,-0.01010921127738525
4456,3,0.003909179609005909,-1.000362660356118
4457,0,1.0017064251986845,-0.02181316055493607
4460,3,-0.015970855642674937,-1.0000932614580038
4461,1,-0.00029590414840965776,0.986749414456453
4462,2,-0.9882089050300494,-0.0075227804215026416
4463,1,0.005825242229567659,1.0013106002993413
4464,0,1.004042155946998,0.005523278516030332
4466,1,-0.038308671641402135,1.008339729609051
4467,1,0.01093790383288397,1.000703215130194
4468,1,0.007146701184647635,0.9967605393367942
4469,1,0.011071287411829613,0.9884495335218695
4470,1,0.022027183892333085,0.9839170385096055
4473,2,-1.0141896226178337,0.004739089222140173
4474,1,0.004279644896640982,0.9878256796707422
4475,0,1.005004116358279,0.001300827622811217
4476,3,-0.01919017626895616,-0.9953255261709564
4477,3,0.020089200963842084,-0.997270625029255
4479,2,-1.0097509350942555,-0.018333795816616632
4480,3,-0.011685791728838142,-1.010152044977518
4481,2,-0.9873431888484494,-0.011881184254232525
4482,0,0.972603625338041,0.007380949591000512
4483,2,-0.9863802511722829,0.020314466115112048
4484,3,0.03342117314179356,-1.0111943645127943
4486,0,0.9820081891558433,-0.017371011085286155
4487,1,-0.007643397209407166,1.006293951324111
4488,1,-0.0043012621105507414,0.9871732643060422
4489,3,-0.004126714275262633,-0.9859706536980465
4490,1,-0.005479187553978293,1.0032361630187874
4492,1,-0.023664181241034025,0.9882638250071215
4493,0,0.9839715826979014,-0.011678754231871952
4494,1,0.005034830454048796,0.9912791645868649
4495,1,0.00308866901183754,0.9769880008257875
4496,3,-0.0020581579256777746,-0.9934207511801442
4499,1,0.01718291973739375,0.9999275615582838
4500,3,-0.0058229498243299056,-1.0065217440448155
4501,3,0.02068584217283658,-0.9955341350971422
4502,2,-1.0097083999710617,0.021144311839406554
4503,0,1.0139425519485676,0.03292426004158416
4506,3,-0.01293674264413228,-1.015201878591635
4507,2,-1.0005587708469887,0.010586385244378672
4508,2,-0.9874343452000743,-0.0067062420613125525
4509,0,0.9874401216739388,-0.012487122571079172
4510,0,0.9967157307549778,0.01988493420536412
4512,3,0.0030616478185203737,-1.0039029535698512
4513,3,-0.015728623489672168,-0.9885116847331622
4514,2,-0.9990562633040949,-0.00363194395026073
4515,2,-1.018676653964401,-0.00457711841846197
4516,0,1.0152810740082645,-0.00843442152306442
4519,0,0.9864977627938394,-0.0323514713006571
4520,3,-0.010874440374252099,-1.0096189187049
4521,1,-0.0008905979753433538,1.0094073667207926
4522,2,-0.9936790981540607,0.0228587856608406
4523,3,0.034377189496587995,-1.0222183550725605
4526,0,0.9867714741214487,-0.011960486294583334
4527,2,-1.0111687159116245,0.00045546143732957495
4528,3,0.020989090865686812,-1.0201562468722278
4529,2,-0.9944111964974426,0.020323794136499283
4530,2,-0.9914295404415514,-0.018016868029770323
4532,2,-1.017517114501716,-0.02895782781290983
4533,1,0.03299802719574517,0.9840121892561492
4534,2,-0.9938858584453347,-0.023969389862493466
4535,3,-0.0026937652397943834,-0.9911000923378988
4536,2,-1.0046167587057897,0.033452237295131165
4537,2,-0.9949091021039068,-0.04039339415209019
4539,0,1.0089626023606157,-0.009651983464297565
4540,0,1.0059491691465081,-0.0016626112993826292
4541,3,0.011543207723969882,-0.9920850922500154
4542,3,-0.0304780839567058,-1.007997490445832
4543,2,-1.0095587326957915,-0.03230886289409004
4545,0,1.016070060284465,0.012657945952159584
4546,0,1.0004776523898544,-0.012125922148162254
4547,3,-0.0004704727825159093,-0.9924978685339856
4548,3,-0.008586000904723607,-1.0072083045578346
4549,0,1.0077570130274687,0.0011260058031337826
4552,1,0.025069047871830757,0.9983651287992314
4553,3,-0.007579991213087552,-1.0024554821929528
4554,1,-0.005898894099487166,0.9984891505968039
