repeat,frequency_mhz,s21_db
3,217.786000,-23.059849349618
3,217.866000,-22.975761174313
3,217.946000,-22.861366805969
3,218.026000,-22.770549255830
3,218.106000,-22.663628027992
3,218.186000,-22.572101964585
3,218.266000,-22.467823554548
3,218.346000,-22.379734316088
3,218.426000,-22.290606947310
3,218.506000,-22.183774144634
3,218.586000,-22.092588987098
3,218.666000,-22.003949748641
3,218.746000,-21.911248757604
3,218.826000,-21.815686525058
3,218.906000,-21.719258931990
3,218.986000,-21.636479397078
3,219.066000,-21.551473709344
3,219.146000,-21.475943916432
3,219.226000,-21.391666601241
3,219.306000,-21.313736701527
3,219.386000,-21.229241307522
3,219.466000,-21.159252128715
3,219.546000,-21.092156922975
3,219.626000,-21.009239830326
3,219.706000,-20.947341736066
3,219.786000,-20.894462901485
3,219.866000,-20.825781575215
3,219.946000,-20.774300724254
3,220.026000,-20.719811232010
3,220.106000,-20.677600266914
3,220.186000,-20.630440818615
