frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
13223339.0808,3.05227258655e-09,1.26357069871e-08,13198631.2866,13248046.875
13273143.7683,2.66397249329e-09,1.43690807211e-08,13248435.9741,13297851.5625
13322948.4558,3.82844235108e-09,3.42573023324e-08,13298240.6616,13347656.25
13372753.1433,5.8947024557e-09,5.5091624812e-08,13348045.3491,13397460.9375
13422557.8308,3.02335459912e-09,2.50970140233e-08,13397850.0366,13447265.625
13472362.5183,3.09826693982e-09,4.64852812904e-08,13447654.7241,13497070.3125
13522167.2058,8.68196539531e-09,2.92295993422e-07,13497459.4116,13546875
13571971.8933,4.41169487347e-09,4.48196935967e-08,13547264.0991,13596679.6875
13621776.5808,1.8097961216e-09,8.31689450465e-09,13597068.7866,13646484.375
13671581.2683,1.9308152552e-09,7.7305590053e-09,13646873.4741,13696289.0625
13721385.9558,2.1957547812e-09,1.70893024114e-08,13696678.1616,13746093.75
13771190.6433,4.06252043513e-09,6.82939400625e-08,13746482.8491,13795898.4375
13820995.3308,2.08666709163e-09,1.60613748513e-08,13796287.5366,13845703.125
13870800.0183,2.2678932308e-09,1.08994326032e-08,13846092.2241,13895507.8125
13920604.7058,1.84406542883e-09,1.81253328932e-08,13895896.9116,13945312.5
13970409.3933,3.19105431908e-09,2.81980503116e-08,13945701.5991,13995117.1875
14020214.0808,2.40918543001e-09,3.01396776034e-08,13995506.2866,14044921.875
14070018.7683,2.09516040733e-09,1.03922278563e-08,14045310.9741,14094726.5625
14119823.4558,1.95162766859e-09,1.66178152479e-08,14095115.6616,14144531.25
14169628.1433,2.47974944677e-09,2.00096412392e-08,14144920.3491,14194335.9375
14219432.8308,2.1000987374e-09,1.6276092031e-08,14194725.0366,14244140.625
14269237.5183,2.06250550827e-09,8.87082978467e-09,14244529.7241,14293945.3125
14319042.2058,2.46752681806e-09,1.26610222812e-08,14294334.4116,14343750
