symbol_position_ms,magnitude
0,2.89746827245
0.001,11.6810888433
0.002,0.956510539548
0.003,1.83210208207
0.004,4.16302818173
0.005,5.28244769177
0.006,0.702738767895
0.007,4.83025089846
0.008,5.25135365049
0.009,1.64306782507
0.01,1.6979837389
0.011,1.60837296869
0.012,4.06800993266
0.013,4.87494283417
0.014,3.05592186651
0.015,1.55355803191
0.016,4.91453013297
0.017,1.13188492712
0.018,3.1889833914
0.019,3.28769885317
0.02,0.574359784759
0.021,3.64463633536
0.022,0.639014757888
0.023,2.39934591625
0.024,7.457529578
0.025,2.98398824291
0.026,7.15762436715
0.027,2.51181317409
0.028,1.89909195421
0.029,7.15640780347
0.03,3.91952133827
0.031,2.00469997088
0.032,1.60342350527
0.033,2.526606679
0.034,1.85223883192
0.035,0.549820678572
0.036,1.76276558938
0.037,4.18997850892
0.038,7.29876311478
0.039,4.35021057126
0.04,4.14143049003
0.041,2.59419650728
0.042,0.503702309873
0.043,2.37817110146
0.044,5.41225750001
0.045,2.67835262505
0.046,6.06069012878
0.047,3.59249241855
0.048,0.362991139855
0.049,3.34876038005
0.05,2.25376408344
0.051,3.64453221496
0.052,3.09361949461
0.053,1.3262061331
0.054,0.61599044906
0.055,5.57378621402
0.056,1.99285750687
0.057,0.916072971722
0.058,2.34288120407
0.059,2.27353735756
0.06,0.506125047876
0.061,2.7151059172
0.062,4.28791732072
0.063,0.537166171903
0.064,1.72299902572
0.065,1.47929047254
0.066,4.41519707193
0.067,2.23658405526
0.068,3.01447210617
0.069,1.69636033652
0.07,1.15246066259
0.071,4.79158051116
0.072,2.71481454065
0.073,1.61957837688
0.074,2.50233879494
0.075,2.96039912228
0.076,1.68945331426
0.077,1.09867999326
0.078,1.42709976599
0.079,2.25979915113
0.08,3.25315455263
0.081,3.48565803478
0.082,2.58620213703
0.083,3.13929683137
0.084,2.05281487108
0.085,7.22034202057
0.086,3.32680811876
0.087,3.21082374589
0.088,3.9444016649
0.089,3.8472922716
0.09,4.33720269421
0.091,2.89109656276
0.092,5.20586333839
0.093,3.99449859748
0.094,1.92141989486
0.095,4.08636713819
0.096,4.15946596966
0.097,4.40264878037
0.098,3.27559041468
0.099,0.199187340864
0.1,1.48002849801
0.101,1.92776601014
0.102,1.86498244089
0.103,4.00576690269
0.104,1.5824707917
0.105,3.08343152291
0.106,1.5887446244
0.107,3.39768800159
0.108,2.27238583339
0.109,2.67337255032
0.11,1.73861695459
0.111,4.69697749088
0.112,5.73249965997
0.113,4.23489860423
0.114,3.59774066514
0.115,4.74431031882
0.116,1.80972844401
0.117,4.21664756901
0.118,3.34716065298
0.119,4.94023717595
0.12,2.13826196225
0.121,5.88389375526
0.122,1.55687243027
0.123,2.32075244126
0.124,1.45112943475
0.125,1.32994882347
0.126,2.67494230795
0.127,1.76483433107
0.128,2.11224500345
0.129,2.01336634641
0.13,2.23259548044
0.131,1.28019490622
0.132,3.84003415383
0.133,0.582541687007
0.134,0.781697767691
0.135,3.89629713554
0.136,3.11938807992
0.137,1.80748397839
0.138,1.70501151833
0.139,1.84850231944
0.14,1.49965134391
0.141,3.04568897812
0.142,3.29452414122
0.143,1.57881456905
0.144,5.08230854582
0.145,5.12207988
0.146,0.757456214233
0.147,3.47047748532
0.148,2.61825183195
0.149,3.98433977162
0.15,2.17941213441
0.151,4.67030001865
0.152,1.46481527428
0.153,3.51456530389
0.154,1.06527958068
0.155,4.29386295164
0.156,1.26658410254
0.157,2.24274793862
0.158,2.32352175349
0.159,4.54364447521
0.16,2.15993699115
0.161,4.02061937037
0.162,5.15180928522
0.163,2.78261386844
0.164,1.02384595172
0.165,3.4991964199
0.166,4.36434788409
0.167,1.5696947191
0.168,1.07532694829
0.169,0.918223408001
0.17,4.95351123231
0.171,0.539064910088
0.172,1.05764914776
0.173,1.93371730579
0.174,2.51120717656
0.175,2.39669518311
0.176,4.14102831945
0.177,2.03322468195
0.178,2.21428993611
0.179,2.73070421856
0.18,2.84661578036
0.181,1.05203944308
0.182,1.3382702062
0.183,3.95450023874
0.184,6.31447609434
0.185,2.7982579046
0.186,1.17867880911
0.187,0.88095223653
0.188,2.34377679828
0.189,0.980168592648
0.19,4.42942543279
0.191,2.92793150754
0.192,2.85327731441
0.193,3.43881855884
0.194,3.16814938186
0.195,2.39363516382
0.196,2.2255920563
0.197,0.920181360829
0.198,2.55645875836
0.199,3.89709169778
0.2,2.06248291875
0.201,3.86650834912
0.202,3.73164478261
0.203,3.60019823291
0.204,2.84766231251
0.205,2.56057411807
0.206,3.32260772887
0.207,6.15590418232
0.208,1.76690421733
0.209,0.977163816013
0.21,3.47165074118
0.211,3.55668751521
0.212,3.09552961321
0.213,3.7691953875
0.214,5.3448144032
0.215,1.04383308501
0.216,1.67400480194
0.217,0.805864955716
0.218,0.355593717173
0.219,0.479334265318
0.22,2.12151842782
0.221,1.90016505072
0.222,3.6321114857
0.223,2.99974455245
0.224,0.265490097542
0.225,3.24977352181
0.226,2.65038080523
0.227,4.04885255528
0.228,7.48418949602
0.229,1.21553222337
0.23,2.30150621159
0.231,1.5278431123
0.232,3.02062672864
0.233,2.03673240957
0.234,1.55630374138
0.235,4.02337621907
0.236,2.45981857804
0.237,1.50073824226
0.238,4.18533212349
0.239,2.42910687542
0.24,1.7378058848
0.241,5.44730770567
0.242,1.45439931894
0.243,3.35895436669
0.244,4.51654811889
0.245,0.661582074523
0.246,0.788924692472
0.247,4.08698414305
0.248,3.44401947037
0.249,2.52300702463
0.25,2.35174214262
0.251,2.21478487812
0.252,5.97500138241
0.253,4.5919791945
0.254,2.78524765407
0.255,1.25398466422
0.256,1.50444195212
0.257,2.93319772665
0.258,2.13963932348
0.259,2.00982117424
0.26,2.41268284185
0.261,1.59079841172
0.262,2.74339803032
0.263,0.972288732247
0.264,0.319965546096
0.265,3.17647746134
0.266,3.33413150526
0.267,1.59518482594
0.268,3.51258655973
0.269,1.05987908426
0.27,1.45064640125
0.271,3.2019022876
0.272,2.47590953719
0.273,1.6119182496
0.274,4.34263787635
0.275,1.93164252705
0.276,3.56207422277
0.277,5.0026413425
0.278,3.20403353779
0.279,5.38646354092
0.28,5.13747643994
0.281,3.67697134184
0.282,2.87549975894
0.283,4.14049993938
0.284,2.74127539739
0.285,2.10152519385
0.286,2.11034958495
0.287,2.80811038645
0.288,0.669065372027
0.289,0.0156309398484
0.29,2.18862661363
0.291,1.55917804341
0.292,1.27022169699
0.293,3.43068848597
0.294,2.52997331194
0.295,3.06922247389
0.296,2.18377181491
0.297,5.99690228452
0.298,1.15880686185
0.299,1.69051144823
0.3,1.87072902088
0.301,3.24908580479
0.302,1.41494555009
0.303,4.66380753935
0.304,4.55902735512
0.305,1.62590449403
0.306,2.52407316818
0.307,2.77123543964
0.308,2.21117161309
0.309,2.38422233501
0.31,0.290162481836
0.311,3.00001938337
0.312,2.48575823627
0.313,0.869052124643
0.314,1.9854519904
0.315,2.61463330491
0.316,1.5866720045
0.317,3.21347911694
0.318,0.472619631159
0.319,3.47415405249
0.32,3.05934440626
0.321,0.109763509238
0.322,0.395480908261
0.323,0.614231257612
0.324,3.64880655976
0.325,0.417247514523
0.326,3.25725995835
0.327,1.11951481523
0.328,2.82139932929
