view,offset_hz,tx_on_receiver_db_per_hz,rf_off_receiver_db_per_hz
target,-63546.753,-92.290641,-103.245149
target,-63537.598,-91.483843,-103.505025
target,-63528.442,-91.073107,-104.275232
target,-63519.287,-91.119888,-105.305516
target,-63510.132,-90.404504,-105.002897
target,-63500.977,-88.933481,-103.812737
target,-63491.821,-89.238440,-103.693734
target,-63482.666,-90.280459,-104.056080
target,-63473.511,-90.927781,-103.496837
target,-63464.355,-91.088732,-104.339632
target,-63455.200,-91.359317,-104.225957
target,-63446.045,-92.569995,-104.302198
target,-63436.890,-90.413299,-104.106530
target,-63427.734,-89.871481,-102.448775
target,-63418.579,-90.147265,-103.051867
target,-63409.424,-90.340424,-103.667035
target,-63400.269,-91.722129,-103.167600
target,-63391.113,-90.893366,-103.881276
target,-63381.958,-90.094078,-103.558964
target,-63372.803,-91.547813,-104.308151
target,-63363.647,-91.376615,-105.472986
target,-63354.492,-91.220538,-104.257587
target,-63345.337,-91.253999,-105.263552
target,-63336.182,-91.147055,-105.008264
target,-63327.026,-89.989603,-103.004359
target,-63317.871,-91.522749,-103.165683
target,-63308.716,-90.566942,-103.105339
target,-63299.561,-90.123082,-103.585603
target,-63290.405,-90.903474,-104.380447
target,-63281.250,-92.021093,-104.719419
target,-63272.095,-90.025595,-104.319757
target,-63262.939,-90.829107,-104.369180
target,-63253.784,-92.274901,-103.363783
target,-63244.629,-91.598040,-103.160347
target,-63235.474,-92.530444,-103.375828
target,-63226.318,-91.326029,-105.018208
target,-63217.163,-91.537529,-104.913681
target,-63208.008,-89.914778,-103.978670
target,-63198.853,-89.108021,-104.064617
target,-63189.697,-89.114852,-104.283891
target,-63180.542,-91.230557,-105.005840
target,-63171.387,-92.723014,-104.583328
target,-63162.231,-91.633266,-105.896041
target,-63153.076,-90.473830,-104.331147
target,-63143.921,-88.731539,-102.272371
target,-63134.766,-85.870767,-104.196317
target,-63125.610,-83.557238,-104.763976
target,-63116.455,-77.779748,-104.079160
target,-63107.300,-74.855063,-104.471819
target,-63098.145,-75.861857,-104.676085
target,-63088.989,-79.818781,-104.081548
target,-63079.834,-82.802512,-102.758908
target,-63070.679,-84.991473,-103.774193
target,-63061.523,-87.706985,-103.712372
target,-63052.368,-88.866580,-104.379805
target,-63043.213,-89.619314,-103.357543
target,-63034.058,-90.075854,-102.971778
target,-63024.902,-91.160971,-103.575927
target,-63015.747,-90.934970,-104.349081
target,-63006.592,-90.415239,-105.447622
target,-62997.437,-90.951796,-102.908447
target,-62988.281,-91.433586,-102.310535
target,-62979.126,-90.475374,-102.645301
target,-62969.971,-91.409260,-102.195354
target,-62960.815,-92.456074,-102.635252
target,-62951.660,-90.799425,-103.030308
target,-62942.505,-91.264252,-102.309158
target,-62933.350,-91.656040,-101.906840
target,-62924.194,-92.640051,-102.052099
target,-62915.039,-93.030930,-103.738202
target,-62905.884,-93.087696,-104.464477
target,-62896.729,-91.347275,-103.775621
target,-62887.573,-91.224608,-103.451219
target,-62878.418,-92.442190,-104.284655
target,-62869.263,-92.446462,-103.757175
target,-62860.107,-92.217177,-102.866418
target,-62850.952,-90.980074,-103.097606
target,-62841.797,-92.291103,-102.420481
target,-62832.642,-92.542738,-103.090317
target,-62823.486,-91.161009,-103.880436
target,-62814.331,-92.231356,-102.864874
target,-62805.176,-91.921637,-103.387126
target,-62796.021,-92.587309,-103.510842
target,-62786.865,-93.547658,-102.187599
target,-62777.710,-93.766915,-103.688885
target,-62768.555,-92.435043,-103.346836
target,-62759.399,-92.443229,-104.715580
target,-62750.244,-92.906107,-104.355236
target,-62741.089,-93.822432,-105.036597
target,-62731.934,-94.104073,-104.742256
target,-62722.778,-92.749548,-104.630352
target,-62713.623,-92.708633,-104.777647
target,-62704.468,-92.865503,-104.284882
target,-62695.312,-93.006318,-103.095095
target,-62686.157,-92.875904,-104.047480
target,-62677.002,-93.034175,-103.603818
target,-62667.847,-91.577936,-104.468067
target,-62658.691,-91.370054,-103.660634
target,-62649.536,-91.787878,-103.436162
target,-62640.381,-91.571386,-104.267236
target,-62631.226,-93.366578,-103.721921
target,-62622.070,-89.338642,-103.378642
target,-62612.915,-72.492944,-103.573065
target,-62603.760,-59.915513,-102.777656
target,-62594.604,-59.290438,-103.233884
target,-62585.449,-70.423996,-102.649724
target,-62576.294,-87.715238,-102.691940
target,-62567.139,-91.512897,-102.592722
target,-62557.983,-92.643274,-104.341168
target,-62548.828,-92.617604,-103.523952
target,-62539.673,-92.085468,-103.213450
target,-62530.518,-91.231897,-104.431875
target,-62521.362,-91.723657,-103.087113
target,-62512.207,-92.859749,-102.496056
target,-62503.052,-93.348246,-102.092379
target,-62493.896,-92.668809,-102.910338
target,-62484.741,-91.838093,-103.255668
target,-62475.586,-93.610062,-102.120443
target,-62466.431,-92.232996,-102.613660
target,-62457.275,-91.915596,-104.176977
target,-62448.120,-92.001342,-104.194988
target,-62438.965,-91.942119,-102.778373
target,-62429.810,-91.664086,-103.231243
target,-62420.654,-91.563927,-104.437027
target,-62411.499,-91.765683,-103.546593
target,-62402.344,-91.650516,-103.414117
target,-62393.188,-91.137185,-104.081997
target,-62384.033,-92.272717,-103.178239
target,-62374.878,-91.241709,-102.642678
target,-62365.723,-92.094081,-101.989083
target,-62356.567,-91.194695,-102.326764
target,-62347.412,-91.451054,-103.202914
target,-62338.257,-92.689288,-103.003329
target,-62329.102,-92.001524,-104.103295
target,-62319.946,-90.442220,-103.658164
target,-62310.791,-90.553787,-103.150128
target,-62301.636,-90.814687,-104.110254
target,-62292.480,-92.608570,-105.412056
target,-62283.325,-91.367777,-105.561214
target,-62274.170,-91.203409,-102.731197
target,-62265.015,-92.509597,-102.610469
target,-62255.859,-92.116378,-102.124680
target,-62246.704,-91.470700,-102.829126
target,-62237.549,-91.440586,-103.726987
target,-62228.394,-92.363431,-104.164244
target,-62219.238,-91.384323,-104.676047
target,-62210.083,-90.899414,-103.437635
target,-62200.928,-91.426265,-102.796660
target,-62191.772,-90.676627,-103.081649
target,-62182.617,-89.840062,-104.076008
target,-62173.462,-90.698354,-105.194474
target,-62164.307,-89.222876,-103.755217
target,-62155.151,-90.165294,-104.247925
target,-62145.996,-89.827196,-104.086508
target,-62136.841,-88.366417,-103.103237
target,-62127.686,-84.510070,-103.210715
target,-62118.530,-82.893341,-102.900900
target,-62109.375,-80.039318,-102.661020
target,-62100.220,-76.100737,-101.789346
target,-62091.064,-75.315973,-102.044466
target,-62081.909,-77.090315,-103.441238
target,-62072.754,-82.552316,-103.162653
target,-62063.599,-88.122936,-103.809387
target,-62054.443,-89.565093,-104.169272
target,-62045.288,-89.268472,-103.788875
target,-62036.133,-89.611607,-103.941371
target,-62026.978,-88.843545,-103.653140
target,-62017.822,-91.359705,-104.228759
target,-62008.667,-90.774278,-104.457037
target,-61999.512,-88.802915,-104.491888
target,-61990.356,-89.458971,-103.478204
target,-61981.201,-89.747602,-103.386942
target,-61972.046,-89.812878,-102.771306
target,-61962.891,-89.417219,-103.125600
target,-61953.735,-91.391529,-102.420939
target,-61944.580,-92.088828,-103.225507
target,-61935.425,-90.941819,-104.355244
target,-61926.270,-91.232077,-104.449122
target,-61917.114,-90.396268,-105.647447
target,-61907.959,-90.141058,-106.170100
target,-61898.804,-91.467080,-104.225917
target,-61889.648,-90.617889,-102.484522
target,-61880.493,-90.554274,-102.455053
target,-61871.338,-91.320355,-104.504120
target,-61862.183,-92.213312,-104.465810
target,-61853.027,-91.785088,-105.328981
target,-61843.872,-91.537564,-104.893947
target,-61834.717,-90.192766,-104.238498
target,-61825.562,-90.567273,-102.518945
target,-61816.406,-90.335859,-103.012243
target,-61807.251,-88.887481,-104.406748
target,-61798.096,-89.342414,-104.631016
target,-61788.940,-90.008629,-104.350371
target,-61779.785,-89.874461,-104.352962
target,-61770.630,-90.491942,-103.881199
target,-61761.475,-91.358963,-104.026140
target,-61752.319,-92.253435,-104.589260
target,-61743.164,-90.714181,-105.019227
target,-61734.009,-90.310095,-103.382833
target,-61724.854,-89.691974,-104.235393
target,-61715.698,-88.306750,-103.968002
target,-61706.543,-88.462400,-103.308280
target,-61697.388,-89.853204,-102.887263
target,-61688.232,-90.063619,-103.708711
target,-61679.077,-88.506360,-104.807767
target,-61669.922,-89.077995,-103.791576
target,-61660.767,-88.053366,-103.706781
target,-61651.611,-88.960413,-103.706215
target,-61642.456,-89.181016,-104.352870
target,-61633.301,-87.699290,-103.312534
target,-61624.146,-87.586300,-103.527723
target,-61614.990,-88.139616,-103.978755
target,-61605.835,-86.329545,-104.172974
target,-61596.680,-85.687597,-103.422507
target,-61587.524,-86.253846,-105.015765
target,-61578.369,-85.412880,-104.794818
target,-61569.214,-86.610179,-104.474192
target,-61560.059,-87.217580,-104.892845
target,-61550.903,-87.171170,-106.153367
target,-61541.748,-87.373606,-103.609222
target,-61532.593,-89.038077,-103.417746
target,-61523.438,-88.139437,-103.784762
target,-61514.282,-88.754833,-104.134805
target,-61505.127,-89.139154,-103.183632
target,-61495.972,-88.475834,-103.322540
target,-61486.816,-88.880094,-103.413925
target,-61477.661,-89.995955,-103.070050
target,-61468.506,-90.419094,-104.007716
target,-61459.351,-89.747487,-103.320976
target,-61450.195,-89.852709,-103.668639
target,-61441.040,-88.778348,-105.076853
target,-61431.885,-88.450036,-103.236828
target,-61422.729,-87.968091,-102.879767
target,-61413.574,-88.657380,-103.204615
target,-61404.419,-90.359844,-103.800897
target,-61395.264,-89.016574,-103.267608
target,-61386.108,-89.260458,-104.354878
target,-61376.953,-88.752621,-104.981426
target,-61367.798,-89.702173,-104.019964
target,-61358.643,-90.202935,-102.939935
target,-61349.487,-88.892185,-103.750166
target,-61340.332,-90.250380,-104.001227
target,-61331.177,-90.836001,-104.427415
target,-61322.021,-90.778751,-102.948650
target,-61312.866,-88.950720,-102.491217
target,-61303.711,-87.651743,-103.502383
target,-61294.556,-87.612777,-103.684711
target,-61285.400,-88.630372,-103.271418
target,-61276.245,-88.734768,-104.029197
target,-61267.090,-89.458644,-105.315042
target,-61257.935,-88.045968,-103.060621
target,-61248.779,-88.890490,-104.763118
target,-61239.624,-90.483638,-105.089563
target,-61230.469,-89.542314,-104.030854
target,-61221.313,-89.679070,-103.344536
target,-61212.158,-90.559284,-104.892224
target,-61203.003,-89.373171,-105.095630
target,-61193.848,-89.499877,-103.806805
target,-61184.692,-89.791953,-103.549409
target,-61175.537,-88.884429,-103.556296
target,-61166.382,-88.316534,-103.811889
target,-61157.227,-88.722756,-102.439303
target,-61148.071,-88.815260,-102.622924
target,-61138.916,-88.437360,-105.616495
target,-61129.761,-89.116237,-105.572341
target,-61120.605,-88.084089,-105.712161
target,-61111.450,-88.612080,-105.161549
target,-61102.295,-87.846461,-105.095712
target,-61093.140,-86.144122,-104.628982
target,-61083.984,-87.218152,-104.932528
target,-61074.829,-88.433555,-104.716600
target,-61065.674,-87.824693,-106.049322
target,-61056.519,-88.441821,-105.883534
target,-61047.363,-89.198685,-105.157282
target,-61038.208,-88.690872,-104.968426
target,-61029.053,-88.592732,-104.055563
target,-61019.897,-89.014597,-104.289464
target,-61010.742,-90.121477,-104.559386
target,-61001.587,-88.808464,-104.880611
target,-60992.432,-89.284749,-104.517433
target,-60983.276,-88.308351,-105.371702
target,-60974.121,-88.379772,-104.801786
target,-60964.966,-88.638431,-103.739838
target,-60955.811,-88.773991,-105.401508
target,-60946.655,-88.555939,-104.881837
target,-60937.500,-90.135511,-104.880122
target,-60928.345,-89.888825,-104.458384
target,-60919.189,-87.927298,-104.285081
target,-60910.034,-88.618662,-103.869749
target,-60900.879,-89.545477,-104.898133
target,-60891.724,-89.104688,-103.285812
target,-60882.568,-87.518704,-102.955080
target,-60873.413,-88.498685,-104.175023
target,-60864.258,-88.677716,-105.031618
target,-60855.103,-88.980429,-104.868022
target,-60845.947,-90.493973,-104.720937
target,-60836.792,-90.780721,-104.728620
target,-60827.637,-89.292131,-103.488077
target,-60818.481,-88.294024,-103.939321
target,-60809.326,-88.555219,-104.831485
target,-60800.171,-88.866376,-103.606138
target,-60791.016,-88.825168,-103.366031
target,-60781.860,-87.566019,-104.583536
target,-60772.705,-88.365956,-106.178878
target,-60763.550,-88.206665,-104.442755
target,-60754.395,-88.721278,-104.314881
target,-60745.239,-88.423625,-105.019458
target,-60736.084,-89.130391,-103.014502
target,-60726.929,-89.060156,-102.192347
target,-60717.773,-88.946965,-102.509546
target,-60708.618,-90.310804,-103.337290
target,-60699.463,-89.793162,-103.743996
target,-60690.308,-88.579136,-103.550246
target,-60681.152,-89.366012,-103.739841
target,-60671.997,-88.067549,-102.473366
target,-60662.842,-88.935451,-102.856882
target,-60653.687,-88.182582,-103.558801
target,-60644.531,-87.348037,-103.386985
target,-60635.376,-88.197765,-103.684606
target,-60626.221,-89.136315,-104.638223
target,-60617.065,-89.039890,-103.274167
target,-60607.910,-87.917222,-102.649076
target,-60598.755,-87.955449,-105.276656
target,-60589.600,-87.449895,-104.309163
target,-60580.444,-87.304893,-104.181774
target,-60571.289,-87.511473,-103.451299
target,-60562.134,-87.402862,-103.006025
target,-60552.979,-86.953248,-103.252251
target,-60543.823,-87.855108,-105.227272
target,-60534.668,-89.310255,-103.474599
target,-60525.513,-88.270544,-103.700827
target,-60516.357,-87.451071,-103.728408
target,-60507.202,-87.807509,-103.414146
target,-60498.047,-87.323312,-103.852278
target,-60488.892,-89.418369,-102.772287
target,-60479.736,-90.474422,-102.977739
target,-60470.581,-90.224560,-103.810262
target,-60461.426,-91.263618,-103.064045
target,-60452.271,-88.249900,-103.058389
target,-60443.115,-88.046635,-106.515967
