physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
136,desired,222504785.156250,-101.621710429,-110.171501211,5.92253136433e-11,-102.274926307,0
136,desired,222504882.812500,-101.136975718,-110.004914667,6.69779323967e-11,-101.740682632,0
136,desired,222504980.468750,-100.886049199,-110.2010477,7.1996953918e-11,-101.426858775,0
136,desired,222505078.125000,-101.108909249,-109.904883907,6.72442043519e-11,-101.723451407,0
136,desired,222505175.781250,-101.258058872,-109.770535771,6.43078295134e-11,-101.917361483,0
136,desired,222505273.437500,-101.394273557,-110.010044556,6.25622821218e-11,-102.036874176,0
136,desired,222505371.093750,-100.928421031,-109.988252701,7.07257713268e-11,-101.504223075,0
136,desired,222505468.750000,-100.566187583,-109.810097346,7.73301346544e-11,-101.116512336,0
136,desired,222505566.406250,-100.522929124,-109.819705567,7.82319056721e-11,-101.066160905,0
136,desired,222505664.062500,-100.636161255,-109.959107316,7.62795639244e-11,-101.175917984,0
136,desired,222505761.718750,-101.249515591,-110.169725736,6.53810555846e-11,-101.84548072,0
136,desired,222505859.375000,-101.072154988,-110.136820738,6.84341359076e-11,-101.64727212,0
136,desired,222505957.031250,-100.664668654,-109.904028427,7.55856155735e-11,-101.215608457,0
136,desired,222506054.687500,-100.444362477,-110.308294022,8.09594845744e-11,-100.917322654,0
136,desired,222506152.343750,-100.737733459,-110.324908772,7.50983302824e-11,-101.243697189,0
136,desired,222506250.000000,-101.135254948,-110.333720151,6.7736761835e-11,-101.691755687,0
136,desired,222506347.656250,-100.733705828,-110.20499076,7.49168300493e-11,-101.254206072,0
136,desired,222506445.312500,-100.555230622,-110.127548525,7.82882585849e-11,-101.063033671,0
136,desired,222506542.968750,-100.469940574,-110.126481668,8.00311422314e-11,-100.967409847,0
136,desired,222506640.625000,-101.38966175,-110.461168614,6.36236954873e-11,-101.963811092,0
