capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222920336.914062500,-84.9854746859,-103.868079548,-85.0420136315
physical37_mandatory_baseline_222p5_223p0,222920410.156250000,-85.1640485117,-103.872187585,-85.2229207695
physical37_mandatory_baseline_222p5_223p0,222920483.398437500,-85.1502371776,-103.925787876,-85.2081965921
physical37_mandatory_baseline_222p5_223p0,222920556.640625000,-84.5146026987,-103.675814705,-84.5676069406
physical37_mandatory_baseline_222p5_223p0,222920629.882812500,-84.2904241778,-103.900525363,-84.3381947598
physical37_mandatory_baseline_222p5_223p0,222920703.125000000,-84.5144585698,-104.061079674,-84.5629364746
physical37_mandatory_baseline_222p5_223p0,222920776.367187500,-84.3850371803,-104.431205364,-84.4282213838
physical37_mandatory_baseline_222p5_223p0,222920849.609375000,-84.7442699685,-104.264427362,-84.7930458451
physical37_mandatory_baseline_222p5_223p0,222920922.851562500,-84.8344009327,-103.989331723,-84.887482361
physical37_mandatory_baseline_222p5_223p0,222920996.093750000,-84.522148472,-104.036693058,-84.5709877831
physical37_mandatory_baseline_222p5_223p0,222921069.335937500,-84.827224468,-104.1388423,-84.8784138022
physical37_mandatory_baseline_222p5_223p0,222921142.578125000,-84.8045087115,-104.20770324,-84.8546237654
physical37_mandatory_baseline_222p5_223p0,222921215.820312500,-84.7076236552,-104.35482974,-84.7549856132
physical37_mandatory_baseline_222p5_223p0,222921289.062500000,-84.252166688,-104.23798424,-84.2959582356
physical37_mandatory_baseline_222p5_223p0,222921362.304687500,-84.3370761091,-104.400888396,-84.380084354
physical37_mandatory_baseline_222p5_223p0,222921435.546875000,-85.0815894575,-104.295309474,-85.1339528588
physical37_mandatory_baseline_222p5_223p0,222921508.789062500,-85.1172887418,-104.307741213,-85.1699351474
physical37_mandatory_baseline_222p5_223p0,222921582.031250000,-84.2398318961,-104.466813761,-84.2812466627
physical37_mandatory_baseline_222p5_223p0,222921655.273437500,-84.1552290753,-104.300296886,-84.19743624
physical37_mandatory_baseline_222p5_223p0,222921728.515625000,-84.235550522,-104.372604532,-84.2778360219
physical37_mandatory_baseline_222p5_223p0,222921801.757812500,-84.6132832841,-104.633115251,-84.6567314765
physical37_mandatory_baseline_222p5_223p0,222921875.000000000,-84.2053707957,-104.216862195,-84.24890293
physical37_mandatory_baseline_222p5_223p0,222921948.242187500,-84.4898156582,-104.351350718,-84.5348851156
physical37_mandatory_baseline_222p5_223p0,222922021.484375000,-84.9522221326,-104.454668651,-85.0011984554
physical37_mandatory_baseline_222p5_223p0,222922094.726562500,-84.7650734755,-104.363635761,-84.8129718528
physical37_mandatory_baseline_222p5_223p0,222922167.968750000,-84.6335719438,-104.430424196,-84.6793212533
physical37_mandatory_baseline_222p5_223p0,222922241.210937500,-84.8189684375,-104.544920165,-84.865474801
physical37_mandatory_baseline_222p5_223p0,222922314.453125000,-84.1718127417,-104.362686592,-84.2135749412
physical37_mandatory_baseline_222p5_223p0,222922387.695312500,-84.3236739428,-104.390122765,-84.3666559564
physical37_mandatory_baseline_222p5_223p0,222922460.937500000,-83.9064883441,-104.318966422,-83.94616351
physical37_mandatory_baseline_222p5_223p0,222922534.179687500,-83.4426977812,-104.368830944,-83.4779293012
physical37_mandatory_baseline_222p5_223p0,222922607.421875000,-83.7822141421,-103.946411118,-83.8242349074
physical37_mandatory_baseline_222p5_223p0,222922680.664062500,-84.6757716464,-104.021335,-84.7265600923
physical37_mandatory_baseline_222p5_223p0,222922753.906250000,-84.981817616,-104.171154417,-85.0344776302
physical37_mandatory_baseline_222p5_223p0,222922827.148437500,-84.5014950395,-104.218378359,-84.5480991368
physical37_mandatory_baseline_222p5_223p0,222922900.390625000,-84.6194251318,-104.510718326,-84.6641852345
physical37_mandatory_baseline_222p5_223p0,222922973.632812500,-83.9885900617,-104.430030102,-84.0280003244
physical37_mandatory_baseline_222p5_223p0,222923046.875000000,-84.3418173063,-104.176037181,-84.3871726138
physical37_mandatory_baseline_222p5_223p0,222923120.117187500,-84.5188159572,-104.286870615,-84.5648712529
physical37_mandatory_baseline_222p5_223p0,222923193.359375000,-84.659103003,-104.238164478,-84.7072181369
physical37_mandatory_baseline_222p5_223p0,222923266.601562500,-84.4117762237,-104.359617874,-84.4559543385
